GEO,Legis,@Map,POP,0-4,5 to 17,18-34,35-64,65+,White,Black,AIAN,Asian,NHPI,Oth,Tworace,bipoc,Hisp,NoHS,HS,SmCol,Bach,LFP,Pov,nearpov,deeppov,ownb,rentb,med,nohi,SNAP,OASDI,0-4r,5-17r,18-34r,35-64r,65+r,Whiter,Blackr,AIANr,Asianr,NHPIr,Othr,Tworacer,bipocr,Hispr,NoHSr,HSr,SmColr,Bachr,LFPr,Povr,nearpovr,deeppovr,Ownbr,rentbr,medr,nohir,SNAPr,OASDIr
House District 1,Representative Dontavius Jarrells,HD1.jpg,"116,593","7,991","18,133","34,162","41,692","14,615","59,026","46,271",215,"1,732",73,"2,446","6,830","59,151","5,305","8,869","20,965","20,587","30,120","60,845","29,393","51,415","14,846","4,577","13,018","36,974","10,827","11,394","12,737",6.90%,15.60%,29.30%,35.80%,12.50%,50.60%,39.70%,0.20%,1.50%,0.10%,2.10%,5.90%,50.70%,4.60%,11.00%,26.00%,25.60%,37.40%,67.60%,25.80%,45.20%,13.00%,20.70%,46.20%,32.00%,9.40%,21.90%,24.40%
House District 2,Representative Latyna Humphrey,HD2.jpg,"121,170","8,924","21,847","29,755","45,979","14,665","46,331","60,727",607,"2,274",116,"5,125","5,990","77,753","9,580","9,312","29,198","24,970","17,145","62,993","21,506","50,657","8,261","4,567","11,691","33,511","13,006","8,700","12,748",7.40%,18.00%,24.60%,37.90%,12.10%,38.20%,50.10%,0.50%,2.00%,0.10%,4.40%,5.10%,64.20%,7.90%,11.50%,36.20%,31.00%,21.30%,67.90%,17.80%,42.00%,6.90%,20.80%,43.80%,27.70%,10.80%,17.50%,25.60%
House District 3,Representative Ismail Mohamed,HD3.jpg,"119,821","7,660","18,636","45,558","37,177","10,790","55,493","48,763",328,"4,749",-,"3,267","7,221","67,583","7,607","11,313","19,896","18,739","24,731","66,491","33,629","58,447","15,426","4,396","14,292","37,325","13,206","9,188","8,942",6.40%,15.60%,38.00%,31.00%,9.00%,46.30%,40.70%,0.30%,4.10%,-,2.80%,6.20%,56.40%,6.30%,15.10%,26.60%,25.10%,33.10%,70.60%,28.50%,49.50%,13.10%,24.20%,48.80%,31.20%,11.10%,18.80%,18.30%
House District 4,Representative Mary Lightbody,HD4.jpg,"115,828","7,760","20,302","24,278","46,136","17,352","86,639","14,680",145,"6,351",14,"1,127","6,872","30,755","3,486","3,326","14,268","19,636","42,430","62,808","6,294","15,147","3,690","5,899","3,790","9,156","4,088","1,810","10,748",6.70%,17.50%,21.00%,39.80%,15.00%,74.80%,12.70%,0.10%,5.40%,<0.05%,1.00%,5.90%,26.60%,3.00%,4.20%,17.90%,24.60%,53.30%,70.80%,5.50%,13.30%,3.30%,18.00%,33.00%,8.00%,3.50%,4.00%,23.90%
House District 5,Representative Richard Brown,HD5.jpg,"122,169","8,806","22,619","28,189","46,843","15,712","79,588","29,353",114,"4,432",-,"2,844","5,838","44,489","5,804","6,979","26,707","26,268","22,284","65,504","10,409","34,958","4,082","6,634","7,139","22,820","9,060","4,495","12,579",7.20%,18.50%,23.10%,38.30%,12.90%,65.10%,24.00%,0.10%,3.80%,-,2.40%,5.00%,36.40%,4.80%,8.50%,32.50%,31.90%,27.10%,69.90%,8.60%,28.90%,3.40%,21.50%,43.30%,18.80%,7.40%,9.30%,26.00%
House District 6,Representative Adam Miller,HD6.jpg,"108,261","7,636","20,473","28,339","42,414","9,399","74,042","16,536",249,"4,264",24,"4,572","8,574","38,359","12,251","9,267","20,210","19,310","21,950","59,715","19,820","42,007","7,814","4,298","8,281","25,506","12,825","5,688","8,223",7.10%,18.90%,26.20%,39.20%,8.70%,68.40%,15.30%,0.20%,3.70%,<0.05%,3.90%,7.40%,35.40%,11.30%,13.10%,28.60%,27.30%,31.00%,72.00%,18.40%,39.00%,7.30%,18.80%,43.90%,23.60%,11.90%,13.30%,19.10%
House District 7,Representative Allison Russo,HD7.jpg,"118,527","5,769","13,444","51,337","35,689","12,288","96,125","5,153",162,"9,663",9,"1,253","6,162","24,949","5,666","2,525","5,758","11,746","51,151","62,718","14,906","26,291","9,591","4,164","10,374","8,266","5,157","1,737","8,315",4.90%,11.30%,43.30%,30.10%,10.40%,81.10%,4.30%,0.10%,8.30%,<0.05%,1.10%,5.30%,21.00%,4.80%,3.50%,8.10%,16.50%,71.90%,72.80%,14.30%,25.30%,9.20%,17.70%,45.50%,7.00%,4.40%,3.70%,17.50%
House District 8,Representative Beth Liston,HD8.jpg,"121,449","8,903","17,100","33,449","44,748","17,249","90,953","13,281",416,"9,220",-,"1,481","6,098","32,817","5,885","3,430","13,588","21,877","48,254","71,719","11,142","26,386","4,994","4,727","9,564","13,100","8,713","2,482","10,692",7.30%,14.10%,27.50%,36.80%,14.20%,74.90%,10.90%,0.40%,7.90%,-,1.30%,5.20%,27.00%,4.80%,3.90%,15.60%,25.10%,55.40%,73.90%,9.30%,21.90%,4.10%,16.40%,40.20%,10.80%,7.20%,4.60%,19.80%
House District 9,Representative Munira Abdullahi,HD9.jpg,"120,743","10,795","20,207","32,058","44,088","13,595","60,247","41,559",111,"7,298",26,"2,782","8,720","64,635","9,289","6,991","20,071","23,985","28,897","67,951","17,456","37,390","6,665","4,276","10,317","25,060","12,364","4,404","9,554",8.90%,16.70%,26.60%,36.50%,11.30%,49.90%,34.40%,0.10%,6.30%,<0.05%,2.40%,7.50%,53.50%,7.70%,8.70%,25.10%,30.00%,36.10%,74.00%,14.60%,31.20%,5.60%,18.50%,41.70%,20.80%,10.30%,9.00%,19.60%
House District 10,Representative David Dobos,HD10.jpg,"111,553","7,708","18,313","25,196","43,908","16,428","80,369","19,150",255,"2,765",20,"2,814","6,180","32,715","5,994","9,687","26,959","23,896","16,806","57,180","15,244","31,811","8,298","4,991","6,623","23,050","8,482","6,458","12,886",6.90%,16.40%,22.60%,39.40%,14.70%,72.00%,17.20%,0.20%,2.40%,<0.05%,2.40%,5.30%,29.30%,5.40%,12.50%,34.90%,30.90%,21.70%,66.90%,14.00%,29.30%,7.60%,17.90%,43.60%,21.20%,7.80%,14.60%,29.00%
House District 11,Representative Anita Somani,HD11.jpg,"128,531","8,367","24,112","27,917","52,903","15,232","96,847","5,647",238,"17,972",-,"1,833","5,994","34,629","5,821","3,262","12,006","18,066","55,089","72,910","7,549","18,490","2,478","5,220","6,617","9,535","4,234","1,653","9,993",6.50%,18.80%,21.70%,41.20%,11.90%,75.30%,4.40%,0.20%,15.40%,-,1.60%,5.10%,26.90%,4.50%,3.70%,13.60%,20.40%,62.30%,73.50%,5.90%,14.50%,1.90%,16.80%,33.20%,7.40%,3.30%,3.20%,19.30%
House District 12,Representative Brian Stewart,HD12.jpg,"111,358","5,702","18,228","24,600","46,297","16,531","101,487","4,783",96,"1,009",16,506,"3,461","10,883","2,232","8,984","30,821","21,339","17,436","52,245","11,992","25,296","5,231","5,483","3,562","16,305","6,084","4,668","12,277",5.10%,16.40%,22.10%,41.60%,14.80%,91.10%,4.30%,0.10%,0.90%,<0.05%,0.40%,3.00%,9.80%,2.00%,11.40%,39.20%,27.20%,22.20%,64.50%,11.80%,24.90%,5.10%,18.80%,38.50%,16.00%,6.00%,11.80%,31.00%
House District 13,Representative Michael Skindell,HD13.jpg,"125,771","6,553","19,133","37,112","47,128","15,845","90,036","16,684",653,"2,779",29,"5,522","10,068","43,976","18,975","11,457","23,315","24,005","29,283","70,160","26,617","54,633","9,996","5,302","13,194","37,118","11,232","12,261","13,761",5.20%,15.20%,29.50%,37.50%,12.60%,71.60%,13.30%,0.60%,2.40%,<0.05%,4.70%,8.60%,35.00%,15.10%,13.00%,26.50%,27.30%,33.30%,68.90%,21.30%,43.80%,8.00%,21.00%,43.00%,29.70%,9.00%,21.00%,23.50%
House District 14,Representative Sean Brennan,HD14.jpg,"125,422","7,162","16,695","29,590","48,698","23,277","99,605","10,749",459,"3,407",54,"3,130","8,018","29,921","11,128","8,816","32,385","29,192","20,436","68,377","16,531","38,753","7,371","6,472","7,519","26,990","8,084","7,460","18,285",5.70%,13.30%,23.60%,38.80%,18.60%,79.40%,8.60%,0.40%,2.90%,<0.05%,2.70%,6.90%,23.90%,8.90%,9.70%,35.70%,32.10%,22.50%,66.70%,13.40%,31.40%,6.00%,18.20%,44.80%,21.80%,6.50%,13.90%,34.10%
House District 15,Representative Richard Dell'Aquila,HD15.jpg,"125,226","6,246","18,782","27,401","51,295","21,502","96,877","10,126",421,"4,517",52,"5,042","8,191","34,206","15,782","8,780","28,081","26,229","27,002","67,163","15,580","39,744","6,334","6,984","7,218","24,506","8,487","7,629","15,806",5.00%,15.00%,21.90%,41.00%,17.20%,77.40%,8.10%,0.40%,3.90%,<0.05%,4.30%,7.00%,27.30%,12.60%,9.70%,31.20%,29.10%,30.00%,65.60%,12.50%,31.90%,5.10%,20.20%,41.40%,19.60%,6.80%,14.30%,29.50%
House District 16,Representative Bride Sweeney,HD16.jpg,"124,285","6,340","21,604","22,338","49,143","24,860","110,092","3,793",74,"3,967",96,967,"5,296","16,944","5,213","3,525","19,533","24,380","39,227","63,720","8,298","20,116","3,860","7,368","4,648","10,510","4,635","2,026","16,683",5.10%,17.40%,18.00%,39.50%,20.00%,88.60%,3.10%,0.10%,3.40%,0.10%,0.80%,4.50%,13.60%,4.20%,4.10%,22.50%,28.10%,45.30%,66.30%,6.90%,16.70%,3.20%,19.20%,42.30%,8.60%,3.80%,4.00%,33.20%
